task,model,feature_set,AUROC,AUPRC,F1
COAD/GBM cross-cancer validation,RandomForest,train GBM test COAD,0.5822443981059034,0.1878233320070367,0.12742875807936335
COAD/GBM cross-cancer validation,ResMLP,train GBM test COAD,0.5941378341700635,0.2661245293325048,0.29388866815231973
COAD/GBM cross-cancer validation,RandomForest,train COAD test GBM,0.6344040178021998,0.24846736913985507,0.24541048824593129
COAD/GBM cross-cancer validation,ResMLP,train COAD test GBM,0.6823671028959745,0.3770027369768922,0.34413289511681955
