task,model,feature_set,AUROC,AUPRC,F1
LUAD driver prediction,MVF,functional,0.9724637400163482,0.9294182245502022,0.8144642460992384
LUAD driver prediction,MVF,signature,0.762618498457993,0.5007556140407037,0.5881410256410257
LUAD driver prediction,MVF,functional+signature,0.9685187818221211,0.9224700501302008,0.8037148964398909
SeqQC confidence prediction,QC-MLP,QC,0.6347740811153358,0.623887740797475,0.3358971862525557
