,0
AF,0.21872892070077016
Overall Survival (Months),0.11097218700798489
DP,0.051165541872530695
Overall Survival Status,0.009184027709883287
Overall Survival Status_1,0.008796645331137276
Overall Survival Status_0,0.008443389471668469
SBS34,0.005328997839748703
SBS32,0.004681157437247685
SBS11,0.003294963830674653
SBS23,0.0031691436451927535
SBS15,0.0029023770646080826
SBS30,0.0028334670569242623
SBS6,0.002635538976536771
SBS7c,0.002392415201828783
SBS84,0.0022813613899361957
SBS24,0.0022740316401672405
SBS53,0.002247909888188377
SBS31,0.002104091151766418
SBS22a,0.0019339463491920008
SBS42,0.0018886479017286087
SBS41,0.0016744754011551767
SBS40a,0.00163984928941398
SBS33,0.0016165071162264363
SBS39,0.0015869851849027432
SBS3,0.0015610424415996
SBS9,0.0014846342881755735
SBS27,0.0014034354964409922
SBS48,0.001301708187404102
SBS1,0.0012951299491602685
SBS10d,0.0012651171470026996
