,0
AF,0.21872892070077016
Overall Survival (Months),0.11097218700798489
DP,0.051165541872530695
Overall Survival Status,0.009184027709883287
Overall Survival Status_1,0.008796645331137276
Overall Survival Status_0,0.008443389471668469
SBS34,0.005328997839748703
SBS32,0.004681157437247685
SBS11,0.003294963830674653
SBS23,0.0031691436451927535
SBS15,0.0029023770646080826
SBS30,0.0028334670569242623
SBS6,0.002635538976536771
SBS7c,0.002392415201828783
SBS84,0.0022813613899361957
SBS24,0.0022740316401672405
SBS53,0.002247909888188377
SBS31,0.002104091151766418
SBS22a,0.0019339463491920008
SBS42,0.0018886479017286087
SBS41,0.0016744754011551767
SBS40a,0.00163984928941398
SBS33,0.0016165071162264363
SBS39,0.0015869851849027432
SBS3,0.0015610424415996
SBS9,0.0014846342881755735
SBS27,0.0014034354964409922
SBS48,0.001301708187404102
SBS1,0.0012951299491602685
SBS10d,0.0012651171470026996
SBS20,0.0012338134459371206
SBS17b,0.0011625924945459776
SBS28,0.0011171478722441623
SBS19,0.001094114438820181
SBS99,0.0010919217576747314
SBS14,0.0010891109869734148
SBS86,0.001043878003359965
SBS44,0.0010434126463802142
SBS87,0.0010390655183662436
SBS26,0.001036449915521079
SBS50,0.0009957726647509533
SBS40b,0.0009939153599936056
SBS89,0.0009525172050061587
SBS10a,0.0009505355528492935
SBS55,0.0009456482754880804
SBS7b,0.0009078506810830002
SBS8,0.0008931387580715625
SBS60,0.000868901879067608
SBS56,0.0008545892551460031
SBS40c,0.0008382303699123781
SBS94,0.0007812566413354374
SBS95,0.0007548300863514277
SBS22b,0.0007438007809282749
SBS7d,0.0007028856569132076
SBS29,0.0006987854344629581
SBS88,0.0006871129990711927
SBS85,0.0006814824730235159
SBS54,0.0006547091832310771
SBS10b,0.0006322362847810706
SBS2,0.0006251261055342708
SBS91,0.000622142998490842
SBS47,0.0006191243113343377
SBS17a,0.0006166850207440073
SBS57,0.0006130405155233226
SBS59,0.0006065060734556422
SBS16,0.0006052488405525109
SBS10c,0.0005865722118843372
SBS98,0.0005760737423038585
SBS45,0.0005649064673103301
SBS36,0.0005531459856904889
SBS13,0.0005411298399386704
SBS97,0.0005274706188148798
SBS21,0.000526656687547304
SBS7a,0.000521046140061107
SBS51,0.0005205368747000834
SBS5,0.000520468272988814
SBS35,0.0004949189695458654
SBS43,0.0004857960563021234
SBS58,0.0004777374956180185
SBS38,0.0004726621151846604
SBS4,0.00047222722974966003
SBS49,0.00045617428465757345
SBS12,0.00043145065796071233
SBS96,0.0004161235132163796
SBS25,0.0004082017235599971
SBS92,0.00040800417741569016
SBS46,0.00040544916432188216
SBS52,0.00037626144828678266
SBS18,0.00036263569494360796
SBS93,0.0003565309323833456
SBS90,0.0003541155743937204
SBS37,0.0003448423389073963
