,0
RTIM,0.03304821918419487
homopolymer_length,0.02415529100674081
tumor_baseq_mean,0.01832211795535549
delta_alt_fraction,0.017058622532232486
tumor_alt_fraction,0.01439097194140449
VAF,0.013412606189494277
tumor_depth,0.012822688179365821
normal_baseq_mean,0.01277460950341778
DP,0.012284849747365208
normal_mapq_mean,0.009488863745119386
tumor_orientation_bias,0.009128358850836234
MQ,0.008559983054074514
tumor_mapq_mean,0.008370420065653096
tumor_alt_count,0.007015715583767348
normal_depth,0.006901684979578405
AD,0.0059632935980737664
normal_clipped_fraction,0.003376811746791125
tumor_read_position_bias,0.0032734396096329083
MAP,0.0029474233075427094
tumor_clipped_fraction,0.002646981674868671
tumor_strand_bias,0.0026109366531347615
SB,0.0025574405292031134
tumor_indel_fraction,0.0008691918486828993
normal_indel_fraction,0.00048029892043179994
normal_mismatch_fraction,0.000465739318499514
tumor_mismatch_fraction,0.0003263083930610487
normal_read_position_bias,2.2747484156928413e-05
normal_orientation_bias,1.854652147885465e-05
normal_alt_fraction,1.763789209090123e-05
normal_contamination_flag,1.529018185244769e-05
normal_alt_count,1.3900585492087752e-05
normal_strand_bias,1.2563240926859853e-05
germline_support_flag,0.0
