model,AUROC,AUPRC,F1
RandomForest,0.6091770215462611,0.6053688174671059,0.5094423040485062
LightGBM,0.6262421863117871,0.6177071557050543,0.5003017906243713
XGBoost,0.6288713307984791,0.6180698299491598,0.4950535861500412
